"Unique Response Number","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","8.1. Internet of Things - e.g. fitness devices, security systems","8.2. Cloud computing","8.3. 3D printing","8.4. Machine Learning","8.5. Tracking","8.6. Artificial Intelligence - recommender systems, virtual assistants, language translation, spam filtering etc","8.7. Virtual Reality (VR)/ Augmented Reality (AR)","8.8. Robots","8.9. Self-driving technology (SD)","8.10. Drones","8.11. Blockchain","Q9","Q10","Q11","Q12","Q13","13.1. Monitoring digital and physical security","13.2. Automating data pattern detection and interpretation","13.3. Automating physical tasks","13.4. Automating administrative processes","13.5. Automating marketing activities","13.6. Assisting with queries","13.7. Supporting recruitment and selection","13.8. Evaluating employee performance","13.9. Monitoring employees","Q14","Q15","15.1. Sate government","15.2. Defence force","15.3. Research organisations (e.g. CERN - European organisation for nuclear research)","15.4. Tech companies - e.g. Google, Facebook, Apple, Microsoft","15.5. Commercial organisations","15.6. Non-government scientific organizations (e.g. AAAI = Association for the Advancement of AI)","15.7. Universities"
"887601-887583-97183756","18 - 34","Female","University undergraduate","Self-employed,Student","South Africa","Basic","Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Music and video streaming,Virtual assistants - e.g. Alexa, Siri,Online Banking,Smart home devices - e.g. pet collars, watches, thermostats,Google search,Smartphone apps",,"Neutral","Slightly positive","Very positive","Neutral","Neutral","Slightly positive","Neutral","Slightly negative","Slightly positive","Slightly positive","Slightly negative","I accept AI","Completely willing","Benefits and risks are about equal","Not sure",,"High comfort","High comfort","Moderately comfortably","High comfort","High comfort","High comfort","High comfort","High comfort","High comfort","Hiring bias,Criminal justice bias,Disease diagnosis,Data privacy,Safety in autonomous vehicles,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,AI system failure",,"Not much confidence","A little confidence","A little confidence","A lot of confidence","Neutral","A little confidence","A lot of confidence"
"887601-887583-97184068","18 - 34","Female","University undergraduate","Self-employed,Student","South Africa","Basic","Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Music and video streaming,Virtual assistants - e.g. Alexa, Siri,Online Banking,Smart home devices - e.g. pet collars, watches, thermostats,Google search,Smartphone apps",,"Neutral","Slightly positive","Very positive","Neutral","Neutral","Slightly positive","Neutral","Slightly negative","Slightly positive","Slightly positive","Slightly negative","I accept AI","Completely willing","Benefits and risks are about equal","Not sure",,"High comfort","High comfort","Moderately comfortably","High comfort","High comfort","High comfort","High comfort","High comfort","High comfort","Hiring bias,Criminal justice bias,Disease diagnosis,Data privacy,Safety in autonomous vehicles,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,AI system failure",,"Not much confidence","A little confidence","A little confidence","A lot of confidence","Neutral","A little confidence","A lot of confidence"
"887601-887583-97183919","18 - 34","Female","University undergraduate","Professional - e.g. doctor, lawyer, engineer","Malta","Basic","Rideshare apps - e.g. Uber,Spam filters,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Slack,Online Banking,Anti-virus software,Google search,Smartphone apps",,"Very positive","Very positive","Neutral","Very positive","Neutral","Very positive","Slightly positive","Neutral","Neutral","Neutral","Neutral","I embrace AI","Somewhat willing","Benefits are slightly greater then risks","Not sure",,"High comfort","High comfort","Moderately comfortably","High comfort","High comfort","High comfort","Moderately comfortably","Moderately comfortably","Moderately comfortably","All of the above",,"Neutral","Neutral","A lot of confidence","Not much confidence","Not much confidence","A lot of confidence","A little confidence"
"887601-887583-97184570","45 - 54","Female","University postgraduate",,"South Africa","Advanced","Rideshare apps - e.g. Uber,Spam filters,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Slack,Music and video streaming,Online Banking,Anti-virus software,Google search",,"Slightly positive","Very positive","Very positive","Very positive","Slightly negative","Very positive","Slightly positive","Very positive","Very positive","Very positive","Very positive","I accept AI","Somewhat willing","Benefits are slightly greater then risks","Yes",,"High comfort","Moderately comfortably","High comfort","High comfort","Moderately comfortably","Moderately comfortably","Low comfort","Low comfort","Low comfort","Hiring bias,Criminal justice bias,Data privacy,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Autonomous weapons,AI system failure",,"No confidence","No confidence","A lot of confidence","Not much confidence","Not much confidence","A lot of confidence","A little confidence"
"887601-887583-97185938","55 - 65","Male","University postgraduate","Self-employed","South Africa","Intermediate","Rideshare apps - e.g. Uber,Spam filters,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Music and video streaming,Virtual assistants - e.g. Alexa, Siri,Online Banking,Anti-virus software,Smart home devices - e.g. pet collars, watches, thermostats,Google search,Smartphone apps",,"Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","I approve of AI","Somewhat willing","Benefits are slightly greater then risks","Yes",,"High comfort","High comfort","High comfort","High comfort","High comfort","High comfort","High comfort","Moderately comfortably","Moderately comfortably","Hiring bias,Criminal justice bias,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Autonomous weapons",,"A little confidence","A little confidence","A lot of confidence","A little confidence","A little confidence","A lot of confidence","A lot of confidence"
"887601-887583-97188030","55 - 65","Female","University undergraduate","Unemployed","South Africa","Basic","Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Navigation apps - e.g. Google Maps,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Music and video streaming,Virtual assistants - e.g. Alexa, Siri,Online Banking,Anti-virus software,Smart home devices - e.g. pet collars, watches, thermostats,Google search,Smartphone apps",,"Neutral","Neutral","Very positive","Neutral","Slightly positive","Very positive","Neutral","Neutral","Neutral","Neutral","Neutral","I accept AI","Neutral","Benefits and risks are about equal","No",,"Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Hiring bias,Criminal justice bias,Disease diagnosis,Data privacy,Safety in autonomous vehicles,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Autonomous weapons,Technological unemployment,AI system failure,All of the above",,"Not much confidence","Not much confidence","Neutral","Neutral",,"Neutral","Neutral"
"887601-887583-97189369","18 - 34","Female","University postgraduate","Professional - e.g. doctor, lawyer, engineer","South Africa","Basic","Rideshare apps - e.g. Uber,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Music and video streaming,Online Banking,Anti-virus software,Google search,Smartphone apps",,"Slightly positive","Slightly positive","Very positive","Slightly negative","Slightly positive","Very positive","Neutral","Very negative","Slightly negative","Slightly negative","Slightly negative","I accept AI","Neutral","Risks are slightly greater than benefits","No",,"Low comfort","Low comfort","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Low comfort","Low comfort","Low comfort","Data privacy,Safety in autonomous vehicles,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Autonomous weapons,Technological unemployment",,"Not much confidence","Neutral","Neutral","A little confidence","A little confidence","Not much confidence","Not much confidence"
"887601-887583-97190484","45 - 54","Female","University postgraduate","Clerical, sales or other office worker","South Africa","Basic","Spam filters,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Music and video streaming,Online Banking,Anti-virus software,Google search,Smartphone apps",,"Very positive","Very positive","Very positive","Neutral","Neutral","Neutral","Neutral","Neutral","Slightly positive","Slightly positive","Neutral","I accept AI","Neutral",,"Not sure",,"Low comfort","Low comfort","Low comfort","Moderately comfortably","Moderately comfortably","Low comfort","Low comfort","Low comfort","Low comfort","Hiring bias,Criminal justice bias,Disease diagnosis,Data privacy,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Autonomous weapons,Technological unemployment,AI system failure",,"Not much confidence","Not much confidence","Neutral","Neutral","Neutral","Neutral","A little confidence"
"887601-887583-97191595","35 - 44","Female","University postgraduate","Professional - e.g. doctor, lawyer, engineer","South Africa","Basic","Rideshare apps - e.g. Uber,Spam filters,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Music and video streaming,Online Banking,Anti-virus software,Smart home devices - e.g. pet collars, watches, thermostats,Google search,Smartphone apps",,"Neutral","Neutral","Slightly positive","Neutral","Very positive","Slightly positive","Neutral","Neutral","Slightly positive","Slightly positive","Neutral","I accept AI","Neutral","Benefits and risks are about equal","Yes",,"Moderately comfortably","Moderately comfortably","Low comfort","Low comfort","Low comfort","Low comfort","Low comfort","Low comfort","Low comfort","Hiring bias,Data privacy,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Technological unemployment",,"No confidence","No confidence","A little confidence","A little confidence","Neutral","A little confidence","A little confidence"
"887601-887583-97192053","55 - 65","Female","Tertiary - non university","Self-employed","South Africa","Advanced","Rideshare apps - e.g. Uber,Spam filters,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Music and video streaming,Virtual assistants - e.g. Alexa, Siri,Online Banking,Anti-virus software,Smart home devices - e.g. pet collars, watches, thermostats,Google search,Smartphone apps",,"Very positive","Very positive","Very positive","Very positive","Neutral","Very positive","Very positive","Very positive","Very positive","Very positive","Slightly positive","I approve of AI","Somewhat willing","Benefits are slightly greater then risks","Yes",,"High comfort","High comfort","Low comfort","Low comfort","Low comfort","Moderately comfortably","Moderately comfortably","Moderately comfortably","Low comfort","All of the above",,"A little confidence","A little confidence","Neutral","Not much confidence","Not much confidence","Neutral","A little confidence"
"887601-887583-97192117","35 - 44","Male","University postgraduate","IT","South Africa","Basic","Rideshare apps - e.g. Uber,Spam filters,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Online Banking,Anti-virus software,Smartphone apps",,"Neutral","Very positive","Slightly positive","Slightly positive","Slightly positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","I embrace AI","Somewhat willing","Benefits are slightly greater then risks","Yes",,"High comfort","High comfort","High comfort","High comfort","Moderately comfortably","Moderately comfortably","Low comfort","Low comfort","Moderately comfortably","Hiring bias,Data privacy,Safety in autonomous vehicles,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Autonomous weapons",,"No confidence","A little confidence","Neutral","A lot of confidence","A little confidence","A little confidence","A little confidence"
"887601-887583-97192836","35 - 44","Male","University undergraduate","IT,Education","South Africa","Basic","Rideshare apps - e.g. Uber,Spam filters,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Music and video streaming,Virtual assistants - e.g. Alexa, Siri,Online Banking,Anti-virus software,Smart home devices - e.g. pet collars, watches, thermostats,Google search,Smartphone apps",,"Very positive","Very positive","Very positive","Slightly positive","Slightly negative","Slightly positive","Slightly negative","Slightly positive","Slightly positive","Very positive","Slightly positive","I approve of AI","Somewhat unwilling","Benefits are slightly greater then risks","Yes",,"Moderately comfortably","Low comfort","Moderately comfortably","High comfort","High comfort","High comfort","Moderately comfortably","Moderately comfortably","Moderately comfortably","Data privacy,Safety in autonomous vehicles,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Surveillance,Autonomous weapons,AI system failure",,"No confidence","No confidence","A little confidence","Not much confidence","No confidence","A little confidence","A little confidence"
"887601-887583-97193562","35 - 44","Male","University undergraduate","IT","Turkey","Advanced","Social media - e.g. Facebook, Instagram,Text systems -e.g. Grammarly, Google translate,Slack,Online Banking,Smart home devices - e.g. pet collars, watches, thermostats,Google search,Smartphone apps",,"Very positive","Very positive","Slightly positive","Very positive","Slightly positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","I approve of AI","Somewhat willing","Benefits are much greater than risks","Yes",,"High comfort","High comfort","Moderately comfortably","Low comfort","High comfort","High comfort","Moderately comfortably","Moderately comfortably","Low comfort","Hiring bias,Criminal justice bias",,"Neutral","A lot of confidence","A lot of confidence","A lot of confidence","A little confidence","A lot of confidence","A lot of confidence"
"887601-887583-97197448","45 - 54","Female","University postgraduate","Education","South Africa","Intermediate","Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Music and video streaming,Online Banking,Anti-virus software,Smart home devices - e.g. pet collars, watches, thermostats,Google search,Smartphone apps",,"Slightly positive","Slightly positive","Very positive","Slightly positive","Slightly negative","Slightly positive","Slightly negative","Very negative","Very negative","Slightly negative","Very negative","I tolerate AI","Somewhat willing","Risks are slightly greater than benefits","Yes",,"Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Data privacy",,"No confidence","Not much confidence","Neutral","Neutral","Neutral","Neutral","Neutral"
"887601-887583-97197436","65+","Male","University postgraduate","Professional - e.g. doctor, lawyer, engineer","South Africa","Basic","Social media - e.g. Facebook, Instagram,Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Online Banking,Google search",,"Slightly positive","Very negative","Neutral","Neutral","Very negative","Neutral","Neutral","Slightly positive","Very negative","Slightly positive","Slightly negative","I am suspicious of AI","Somewhat unwilling","Benefits are slightly greater then risks","No",,"Low comfort","Moderately comfortably","Moderately comfortably","Low comfort","Low comfort","High comfort","Low comfort","Moderately comfortably","Low comfort","Data privacy,Safety in autonomous vehicles,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Autonomous weapons,Technological unemployment,AI system failure",,"No confidence","Not much confidence","Neutral","Not much confidence","Neutral","Neutral","A little confidence"
"887601-887583-97199404","18 - 34","Female","University undergraduate","Executive or official in a business or the government","United Kingdom of Great Britain and Northern Ireland","Basic","Rideshare apps - e.g. Uber,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Slack,Online Banking,Anti-virus software,Smart home devices - e.g. pet collars, watches, thermostats,Google search,Smartphone apps",,"Slightly positive","Very positive","Very positive","Very positive","Slightly positive","Slightly positive","Slightly positive","Slightly negative","Slightly positive","Slightly negative","Neutral","I accept AI","Somewhat willing","Benefits are slightly greater then risks","Yes",,"Moderately comfortably","Moderately comfortably","Moderately comfortably","High comfort","Moderately comfortably","High comfort","Low comfort","Low comfort","Low comfort","Hiring bias,Criminal justice bias,Data privacy,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Autonomous weapons",,"No confidence","Not much confidence","A little confidence","Not much confidence","Not much confidence","A little confidence","A little confidence"
"887601-887583-97199527","35 - 44","Female","University postgraduate","Other","South Africa","Basic","Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Music and video streaming,Online Banking,Smart home devices - e.g. pet collars, watches, thermostats,Google search",,"Slightly positive","Slightly positive","Very positive","Slightly positive","Slightly positive","Slightly positive","Slightly positive","Slightly positive","Slightly positive","Slightly positive","Slightly positive","I accept AI","Somewhat willing","Benefits are slightly greater then risks","Yes",,"Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","High comfort","Moderately comfortably","High comfort","High comfort","Criminal justice bias,Data privacy,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Autonomous weapons,Technological unemployment,AI system failure",,"A little confidence","A little confidence","A little confidence","A little confidence","A little confidence","A little confidence","A little confidence"
"887601-887583-97199755","55 - 65","Male","Secondary","Executive or official in a business or the government","South Africa","Basic","Rideshare apps - e.g. Uber,Spam filters,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Music and video streaming,Virtual assistants - e.g. Alexa, Siri,Online Banking,Anti-virus software,Google search,Smartphone apps",,"Neutral","Slightly negative","Slightly positive","Slightly positive","Neutral","Slightly positive","Very negative","Slightly positive","Slightly positive","Slightly positive","Neutral","I approve of AI","Neutral","Benefits are much greater than risks","Yes",,"Moderately comfortably","Low comfort","High comfort","High comfort","Low comfort","Moderately comfortably","Moderately comfortably","Low comfort","Moderately comfortably","Hiring bias,Criminal justice bias,Data privacy,Safety in autonomous vehicles,Cyber-attacks,Surveillance,Autonomous weapons",,"No confidence","Neutral","A little confidence","No confidence","Not much confidence","Neutral","Neutral"
